webpush;1001;TCP;HTTP Web Push
abr-secure;1955;UDP;ABR-Secure Data (diskbridge)
vrtl-vmf-ds;1956;TCP;Vertel VMF DS
vrtl-vmf-ds;1956;UDP;Vertel VMF DS
unix-status;1957;TCP;unix-status
unix-status;1957;UDP;unix-status
dxadmind;1958;TCP;CA Administration Daemon
dxadmind;1958;UDP;CA Administration Daemon
simp-all;1959;TCP;SIMP Channel
simp-all;1959;UDP;SIMP Channel
nasmanager;1960;TCP;Merit DAC NASmanager
nasmanager;1960;UDP;Merit DAC NASmanager
bts-appserver;1961;TCP;BTS APPSERVER
bts-appserver;1961;UDP;BTS APPSERVER
biap-mp;1962;TCP;BIAP-MP
biap-mp;1962;UDP;BIAP-MP
webmachine;1963;TCP;WebMachine
webmachine;1963;UDP;WebMachine
solid-e-engine;1964;TCP;SOLID E ENGINE
solid-e-engine;1964;UDP;SOLID E ENGINE
tivoli-npm;1965;TCP;Tivoli NPM
tivoli-npm;1965;UDP;Tivoli NPM
slush;1966;TCP;Slush
slush;1966;UDP;Slush
sns-quote;1967;TCP;SNS Quote
sns-quote;1967;UDP;SNS Quote
lipsinc;1968;TCP;LIPSinc
lipsinc;1968;UDP;LIPSinc
lipsinc1;1969;TCP;LIPSinc 1
lipsinc1;1969;UDP;LIPSinc 1
netop-rc;1970;TCP;NetOp Remote Control
netop-rc;1970;UDP;NetOp Remote Control
netop-school;1971;TCP;NetOp School
netop-school;1971;UDP;NetOp School
intersys-cache;1972;TCP;Cache
intersys-cache;1972;UDP;Cache
dlsrap;1973;TCP;Data Link Switching Remote Access Protocol
dlsrap;1973;UDP;Data Link Switching Remote Access Protocol
drp;1974;TCP;DRP
drp;1974;UDP;DRP
tcoflashagent;1975;TCP;TCO Flash Agent
tcoflashagent;1975;UDP;TCO Flash Agent
tcoregagent;1976;TCP;TCO Reg Agent
tcoregagent;1976;UDP;TCO Reg Agent
tcoaddressbook;1977;TCP;TCO Address Book
tcoaddressbook;1977;UDP;TCO Address Book
unisql;1978;TCP;UniSQL
unisql;1978;UDP;UniSQL
unisql-java;1979;TCP;UniSQL Java
unisql-java;1979;UDP;UniSQL Java
pearldoc-xact;1980;TCP;PearlDoc XACT
pearldoc-xact;1980;UDP;PearlDoc XACT
p2pq;1981;TCP;p2pQ
p2pq;1981;UDP;p2pQ
estamp;1982;TCP;Evidentiary Timestamp
estamp;1982;UDP;Evidentiary Timestamp
lhtp;1983;TCP;Loophole Test Protocol
lhtp;1983;UDP;Loophole Test Protocol
bb;1984;TCP;BB
bb;1984;UDP;BB
hsrp;1985;TCP;Hot Standby Router Protocol
hsrp;1985;UDP;Hot Standby Router Protocol
licensedaemon;1986;TCP;cisco license management
licensedaemon;1986;UDP;cisco license management
tr-rsrb-p1;1987;TCP;cisco RSRB Priority 1 port
tr-rsrb-p1;1987;UDP;cisco RSRB Priority 1 port
tr-rsrb-p2;1988;TCP;cisco RSRB Priority 2 port
tr-rsrb-p2;1988;UDP;cisco RSRB Priority 2 port
tr-rsrb-p3;1989;TCP;cisco RSRB Priority 3 port
mshnet;1989;TCP;MHSnet system
tr-rsrb-p3;1989;UDP;cisco RSRB Priority 3 port
mshnet;1989;UDP;MHSnet system
stun-p1;1990;TCP;cisco STUN Priority 1 port
stun-p1;1990;UDP;cisco STUN Priority 1 port
stun-p2;1991;TCP;cisco STUN Priority 2 port
stun-p2;1991;UDP;cisco STUN Priority 2 port
stun-p3;1992;TCP;cisco STUN Priority 3 port
ipsendmsg;1992;TCP;IPsendmsg
stun-p3;1992;UDP;cisco STUN Priority 3 port
ipsendmsg;1992;UDP;IPsendmsg
snmp-tcp-port;1993;TCP;cisco SNMP TCP port
snmp-tcp-port;1993;UDP;cisco SNMP TCP port
stun-port;1994;TCP;cisco serial tunnel port
stun-port;1994;UDP;cisco serial tunnel port
perf-port;1995;TCP;cisco perf port
perf-port;1995;UDP;cisco perf port
tr-rsrb-port;1996;TCP;cisco Remote SRB port
tr-rsrb-port;1996;UDP;cisco Remote SRB port
gdp-port;1997;TCP;cisco Gateway Discovery Protocol
gdp-port;1997;UDP;cisco Gateway Discovery Protocol
x25-svc-port;1998;TCP;cisco X.25 service (XOT)
x25-svc-port;1998;UDP;cisco X.25 service (XOT)
tcp-id-port;1999;TCP;cisco identification port
tcp-id-port;1999;UDP;cisco identification port
cisco-sccp;2000;TCP;Cisco SCCP
cisco-sccp;2000;UDP;Cisco SCCp
